client_code,client_label,label_type,address,zip_code,city,Longitude,latitude,radius
2239,DEREMAUX,Client,BLD VICTOR HUGO - Z.I.,76390,AUMALE,,,80
12904,LEBORGNE,Client,32  ROUTE DE DIEPPE,76740,LE BOURG DUN,,,80
6024,ENERGIE LAIT LEFRANC,Client,RTE DU ROUVRAY CATILLON,76440,RONCHEROLLES EN BRAY,,,80
4345,LEBLON DELIENNE,Client,ZONE INDUSTRIELLE,76270,NEUFCHATEL EN BRAY,,,80
4847,BRUN,Client,PLACE DE LA GARE,76340,VILLERS SOUS FOUCARMONT,,,80
4955,PAVARD,Client,"2, RUE DU JEU DE PAUME",76390,AUMALE,,,80
813,MORJAT JARDINER. VILMORIN,Client,ZI DES PRES SALES,76260,EU,,,80
691,LEGRAND DERI,Client,"7, RUE PAUL NOUEL",76770,MALAUNAY,,,80
2495,CLINIQUE DU BELVEDERE,Client,0,76130,MONT ST AIGNAN,,,80
11327,LTV,Client,3 RUE DU DOCTEUR LEJEUNE,76390,AUMALE,,,80
15419,XPO LAST MILES FRANCE,Client,273 ROUTE DE LA REPUBLIQU,76890,CALLEVILLE DEUX EGLISES,,,80
6482,ORANO DS,Client,30 ROUTE DES TENNIS,76450,PALUEL,,,80
487,PRECISION COMPONENTS,Client,INDUSTRIES,76260,EU,,,80
4460,ENDEL,Client,0,76460,ST VALERY EN CAUX,,,80
12263,NORMANDIE SERVICE FRAIS,Client,102 RUE D AUFFAY,76950,LES GRANDES VENTES,,,80
5614,SAPP MAXIM S,Client,14 RUE ALBERT EINSTEIN,76150,ST JEAN DU CARDONNAY,,,80
11650,POM ALLIANCE,Client,76 RUE DU GENERAL DE GAUL,76810,LUNERAY,,,80
14736,OPALE EQUIPEMENT,Client,ZI RUE DE LA CROIX ST LEO,76730,BACQUEVILLE EN CAUX,,,80
11084,AUCHAN SUPERMARCHE,Client,N� 1346,76810,LUNERAY,,,80
13525,VULCAIN PREVENTION INCENDIE,Client,1319 Rue du Vert BUISSON,76160,ST LEGER DU BOURG DENIS,,,80
9520,DAGICOUR PROJECTION,Client,229 RUE TUROLD,76630,ENVERMEU,,,80
13652,VILLE DE MAROMME,Client,PLACE JEAN JAURES,76150,MAROMME,,,80
15006,NICOLAS GANT,Client,"6, ROUTE DU HAVRE",76150,ST JEAN DU CARDONNAY,,,80
5274,GRAINETERIE TESSON,Client,31 ROUTE DE LA MER,76590,BELMESNIL,,,80
14424,FRIGO TRANSPORTS 76,Client,MIN DE ROUEN,76000,ROUEN,,,80
12357,RUDOLF FRANCE,Client,2022 Route de DIEPPE,76230,QUINCAMPOIX,,,80
7601,DALKIA FRANCE,Client,55 AVENUE DE BUCHOLZ,76380,CANTELEU,,,80
15628,MANCHE INDUSTRIE MARINE,Client,19 RUE CHARLES BLOUND,76200,DIEPPE,,,80
15089,LRS CHAUDRONNERIE,Client,6. RUE VERDIER MONETTI,76880,ARQUES LA BATAILLE,,,80
10999,MAIRIE DE CAILLY,Client,RUE DE L EGLISE,76690,CAILLY,,,80
12082,SYLVAIN CUISINES,Client,RUE DU MARQUIS DE RADIOL,76810,LUNERAY,,,80
12037,GIFI,Client,1200 RUE DE LA LIBERATION,76550,ST AUBIN SUR SCIE,,,80
2877,FREMACH,Client,"338, RUE D ARQUES",76510,ST NICOLAS D ALIERMONT,,,80
15368,DISTRIBUTION YVETOTAISE,Client,BP 109,76190,YVETOT,,,80
13382,SAVEURS SANS,Client,7 AVENUE DU COMMANDANT BI,76042,ROUEN,,,80
12825,MONTIS,Client,INTERMARCHE,76230,ISNEAUVILLE,,,80
4454,DIRECTION REGIONALE,Client,DES FINANCES PUBLIQUES,76037,ROUEN CEDEX,,,80
15439,FALCH,Client,"140, RUE DES BOURRELIERS",76760,YERVILLE,,,80
13864,CLINIQUE SAINTE-ANTOINE,Client,696 RUE ROBERT PINCHON,76230,BOIS GUILLAUME,,,80
11317,FORGES THERMAL,Client,AVENUE DES SOURCES,76440,FORGES LES EAUX,,,80
10876,GIFI MAG,Client,ZAC DE LA CARBONNIERE,76360,BARENTIN,,,80
14283,U EXPRESS,Client,31 ROUTE NATIONALE,76116,MARTAINVILLE EPREVILLE,,,80
14700,FERME GAEC DU BEAUNAY,Client,800 RUE DES VERGERS CI 16,76890,BEAUVAL EN CAUX,,,80
11450,MEDIA PLUS,Client,518 BOULEVARD DE NORMANDI,76360,BARENTIN,,,80
13227,VIN,Client,59 RUE DE LA HETRAIE,76760,ECTOT L AUBER,,,80
14462,ETABLISSEMENT BOISHEBERT,Client,RUE AVENIR ZAC LA VARENNE,76590,CRIQUETOT SUR LONGUEVILLE,,,80
12339,EU MAGASIN NOZ,Client,Code Magasin : F825,76260,EU,,,80
1621,MECA MOULES SERVICES,Client,RUE MARCEL PORQUIER,76340,MONCHAUX SERENG,,,80
11245,GIFI,Client,PLACE DE LA LIBERATION,76390,AUMALE,,,80
5780,MAVILAN,Client,RTE DE GAILLEFONTAINE,76270,NEUVILLE FERRIERES,,,80
15594,DE LA H�TRAIE,Client,4 rue des H�tres,76740,ST PIERRE LE VIEUX,,,80
1425,TISSAGE DU RONCHAY,Client,RUE AUX LOUPS,76810,LUNERAY,,,80
10546,AU PANIER DE LA FERME,Client,230 ROUTE DU MONT ECACHE,76116,ST DENIS LE THIBOULT,,,80
1545,ESI DE ROUEN,Client,4 RUE DES MOUETTES,76132,MONT SAINT AIGNAN CEDEX,,,80
8141,LENOIR,Client,96 RTE DE RENFEUGERES,76570,GOUPILLIERES,,,80
12207,DELICES PRIMEURS,Client,MIN DE ROUEN,76250,DEVILLE LES ROUEN,,,80
5916,TECHNIC FOOD,Client,"16,AVENUE CARNOT",76250,DEVILLE LES ROUEN,,,80
2414,AVENEL,Client,"1, RUE LUCIEN FROMAGE",76161,DARNETAL,,,80
14705,CENTRE DES FINANCES PUBLIQUES,Client,6 BOULEVARD G CLEMENCEAU,76200,DIEPPE,,,80
9036,ADSL,Client,ZI LOUIS DELAPORTE,76370,ROUXMESNIL BOUTEILLES,,,80
10926,RENAULT COUVERTURE,Client,LES ARTISANS DU TOIT,76810,LUNERAY,,,80
14538,RESINE STONE NORMANDIE,Client,"5, RUE ALBERT EINSTEIN",76150,ST JEAN DU CARDONNAY,,,80
12902,FPIN,Client,14 RUE CHARLES BLOUND,76200,DIEPPE,,,80
13985,SNCI CARROSSERIE ET MECANIQUE,Client,1 RUE DENIS PAPIN,76150,MAROMME,,,80
11682,METTELLE TRANSPORTS,Client,"5, RUE DU STADE",76340,FOUCARMONT,,,80
1155,SCOPEHM,Client,"37,RUE DE STALINGRAD",76886,DIEPPE CEDEX,,,80
11626,SADA DEVELOPPEMENT,Client,LE PETIT VERGER,76160,PREAUX,,,80
9185,CARBON META,Client,18 RUE MARCEL GAMOT,76200,DIEPPE,,,80
15196,DIEPPE EQUIP AUTO,Client,ZAC EUROCHANNEL,76370,DIEPPE,,,80
11167,GIFI MAG,Client,LIEU DIT GRAND PRES,76220,FERRIERES EN BRAY,,,80
13218,LE PETIT FORESTIER LOCATION,Client,5 Bis Avenue du Cdt BICHE,76000,ROUEN,,,80
14795,INITIALES 3D,Client,rue Maryse Basti�,76520,BOOS,,,80
14990,EURO CHANNEL LOGISTICS,Client,RUE JEAN REDELE,76370,MARTIN EGLISE,,,80
15496,BRASSERIE DU ZINK,Client,6 RUE DE FRECKENHORST,76570,PAVILLY,,,80
827,KOYO BEARINGS VIERZON MAROMME,Client,0,76153,MAROMME CEDEX,,,80
13113,BOURY SEBASTIEN,Client,LE TILLEUL N�2,76730,BACQUEVILLE EN CAUX,,,80
14364,SB LOCATION,Client,LE TILLEUL N�2,76730,BACQUEVILLE EN CAUX,,,80
11516,AFTRAL FC IR NORD,Client,BP 70091,60603,BREUIL LE VERT,,,80
12259,SGAMI OUEST GNS CAFZ 035,Client,28 RUE DE LA PILATE,35207,RENNES CEDEX 2,,,80
10,SAD ROUEN,Client,5 RUE DES CATELIERS,76800,ST ETIENNE DU ROUVRAY,,,80
1119,MAGNA ELECTRONICS FRANCE SAS,Client,B.P. 506,76807,ST ETIENNE DU ROUVRAY CDX,,,80
2406,TOTAL LUBRIFIANTS,Client,USINE DE ROUEN,76121,LE GRAND QUEVILLY CEDEX,,,80
13988,SETCARGO,Client,Bld de l �le aux oiseaux,76530,GRAND COURONNE,,,80
13378,ATALIAN CHEZ UPM,Client,0,76530,GRAND COURONNE,,,80
4930,NORMANDIE MANUTENTION,Client,ZAC DE LA VENTE OLIVIER,76808,ST ETIENNE DU ROUVRAY,,,80
15207,DS SMITH PAPER ROUEN,Client,PARC VIEUX PAPIER,76808,ST ETIENNE DU ROUVRAY CDX,,,80
12147,FICEP CHEZ LUBRIZOL,Client,SERVICES COMPTABILITE,76173,ROUEN CEDEX,,,80
10377,NETMAN CHEZ LUBRIZOL,Client,BP 1062,76000,ROUEN,,,80
13292,NIORT FRERES,Client,ZONE INDUSTRIELLE,76800,SAINT-ETIENNE-DU-ROUVRAY,,,80
1715,NORMANDIE MANUTENTION,Client,ZAC DE LA VENTE OLIVIER,76808,ST ETIENNE DU ROUVRAY CX,,,80
15206,DS SMITH PAPER ROUEN,Client,PRODUCTION CVP,76808,ST ETIENNE DU ROUVRAY CDX,,,80
836,NORMANDE DE MANUTENTION,Client,TERMINAL CONTENEURS ET,76530,GRAND COURONNE,,,80
5379,ETI MAINTENANCE,Client,TS DE NAWI CONTRACTING,76120,LE GRAND QUEVILLY,,,80
10328,SNIC,Client,RUE DU PRE AUX BOEUFS,76800,ST ETIENNE DU ROUVRAY,,,80
1411,TRANSPORTS OISSEL,Client,Z.I. DE LA POUDRERIE,76350,OISSEL,,,80
9427,POMONA PASSION FROID,Client,6 AVENUE PAUL DELORME,76120,LE GRAND QUEVILLY,,,80
1723,SIRM,Client,515 BLD DAMBOURNEY,76350,OISSEL,,,80
9498,TRANSP DEP INDEPENDANT TDI,Client,15 19 RUE ETIENNE DOLET,76140,LE PETIT QUEVILLY,,,80
6185,SNCF EVEN ROUEN SUD,Client,1 PLACE DE LA GARE,76300,SOTTEVILLE LES ROUEN,,,80
1383,PRESTA TRANSPORTS,Client,244 CHEMIN DU GORD,76120,LE GRAND QUEVILLY,,,80
2033,COOPERATEURS DE NORMANDIE,Client,8 AVENUE PAUL DELORNE,76126,LE GRAND QUEVILLY,,,80
912,GRAND PORT MARITIME DE ROUEN,Client,"SCE ""ATELIERS MAGAS""",76380,DIEPPEDALLE CROISSET,,,80
13715,TRANSPORTS SBTR,Client,9030 AVENUE DE ST EXUPERY,76800,ST ETIENNE DU ROUVRAY,,,80
13444,PRESTA SERVICES,Client,6 RUE DES PATIS,76143,LE PETIT QUEVILLY,,,80
1426,VILLE DE ROUEN,Client,COLLECT TERRITORIALE - DE,76037,ROUEN,,,80
8055,ADEQUATION SECURITE,Client,71 RUE JACQUARD,76140,LE PETIT QUEVILLY,,,80
15205,DS SMITH PAPER ROUEN,Client,MAGASIN PAPIER,76808,ST ETIENNE DU ROUVRAY CDX,,,80
13850,BOUYGUES CHEZ LUBRIZOL,Client,0,76173,ROUEN,,,80
9295,SD LOG,Client,BLD DE L ILE AUX OISEAUX,76530,GRAND COURONNE,,,80
13432,MOREAU J.P.,Client,1095 ROUTE DE PARIS,76520,FRANQUEVILLE ST PIERRE,,,80
