Nom,Code,Type,Adresse 1,Adresse 2,Adresse 3,CP,Ville
SRM,7981,Client,3 RUE DENIS PAPIN,,,14200,HEROUVILLE ST CLAIR
ROMON,15538,Client,31 BOULEVARD DE LA PAIX,,,14200,HEROUVILLE ST CLAIR
FARMACLAIR,3961,Client,440, AV.du Gal DE GAULLE,,,14200,HEROUVILLE ST CLAIR
ZICOM,7742,Client,6 RUE ATALANTE,,,14200,HEROUVILLE ST CLAIR
EXCELLENCE BOURBON,15143,Client,7 IMPASSE ISAAC NEWTON,,,14200,HEROUVILLE ST CLAIR
LABORATOIRES GILBERT,3902,Client,928, AV. DU GAL DE GAULLE,,,14200,HEROUVILLE ST CLAIR
GILBERT PRODUCTION FALAISE,13726,Client,AVENUE DU GENERAL DE GAULLE,,,14200,HEROUVILLE ST CLAIR
HEROUVILDIS,15652,Client,D515 CC PL SAINT CLAIR,,,14200,HEROUVILLE ST CLAIR
CARREFOUR HYPERMARCHES,3054,Client,QUARTIER DU VAL,,,14200,HEROUVILLE ST CLAIR
LOUBSOL,13776,Client,RUE LAVOISIER,,,14200,HEROUVILLE ST CLAIR
LABORATOIRE GILBERT,13777,Client,RUE NEWTON,,,14200,HEROUVILLE ST CLAIR
KEOLIS CAEN MOBILITES,11636,Client,ZI DE LA SPHERE,,,14200,HEROUVILLE ST CLAIR
LISI MEDICAL ORTHOPAEDICS,4390,Client,203 BD DE LA GRANDE DELLE,,,14200,HEROUVILLE ST CLAIR
ANIDER SERVICE TECHNIQUE,4095,Client,11 AV. DE CAMBRIDGE,,,14200,HEROUVILLE ST CLAIR
CLAUDE FOURNIS AUTOMOBILES,15759,Client,8 PLACE BOSTON,,,14200,HEROUVILLE ST CLAIR
AGE ELECTRICITE,14773,Client,2 RUE ATALANTE,,,14200,HEROUVILLE ST CLAIR
THIERRY VERMES E.I,3400,Client,2 CHEMIN DES MURAILLES,,,14210,BARON SUR ODON
LINPORTANT,14801,Client,34 RUE CAMILLE BLAISOT,,,14210,EVRECY
JAMARD DISTRIBUTION,15298,Client,ZI LES CERISIERS,,,14210,EVRECY
INTEVA FRANCE SAS,14133,Client,ZAC LA COUTURE,,,14220,ESSON
3939 THURY HARCOURT POINT P,11407,Client,ZAC ESSON,,,14220,THURY-HARCOURT
UCL ISIGNY SAINTE MERE,528,Client,2, RUE DU DR BOUTROIS,,,14230,ISIGNY SUR MER
DISTRICO- ISIGNY SUR MER,13174,Client,ROUTE DE LITTRY,,,14230,ISIGNY SUR MER
TECHNIQUES AERAULIQUES OUEST,14440,Client,ZA DU CALVAIRE,,,14230,ISIGNY SUR MER
DENIS MATERIAUX NORMANDIE,9556,Client,ZAC ISIPOLE,,,14230,ISIGNY SUR MER
LA CAMBE MATERIAUX,15524,Client,Rue de Thoville,,,14230,LA CAMBE
TESSON COQUILLAGES,15293,Client,LE JOLIET,,,14230,ST GERMAIN DU PERT
TRIBALLAT NOYAL,9781,Client,LE PONT PRIEUR,LAITERIE TANTE HELENE,,14240,CAHAGNES
CIDRERIE DUJARDIN,2331,Client,RUE DU PRESBYTERE,,,14240,CAHAGNES
ECOMARCHE CENTRE COMMERCIAL,11811,Client,ROUTE DE TORIGNI,,,14240,CAUMONT L EVENTE
SOFAME,10722,Client,LE DOUET,,,14250,CHOUAIN
DE LA FERME HUNOT,4175,Client,15 RUE SATIN,,,14250,CRISTOT
LEBORDAIS,10116,Client,RN 13,,,14250,LOUCELLES
CARREFOUR CONTACT,3444,Client,ACE ENTREPRISE,1 COUR PERRON,,14250,TILLY SUR SEULLES
MAUBANC LOCATION,5470,Client,LA GARE ST GEORGES AUNAY,,,14260,AUNAY SUR ODON
VIVACES DE L ODON,8557,Client,Lieu dit la P�pini�re,,,14260,ST GEORGES D AUNAY
AD EQUIPEMENTS,14712,Client,6 RUE ALFRED ZUCKERMAN,,,14270,MEZIDON VALLEE D AUGE
GIP LABEO,10051,Client,1 ROUTE DE  ROSEL,,,14280,ST CONTEST
ST CONTEST MAGASIN NOZ,11268,Client,2A DU CLOS BARBEY,,,14280,ST CONTEST
REBUS,15455,Client,7 RUE DU CLOS BARBEY,,,14280,ST CONTEST
BASTIDE LE CONFORT MEDICAL,11843,Client,RUE DU CLOS BARBEY,,,14280,ST CONTEST
CONTEXTUS SUPER U,12194,Client,RUE DU CLOS BARBEZ,,,14280,ST CONTEST
PANOFRANCE,5305,Client,2, RUE D ORLEANS,,,14290,ORBEC
MCJ,15843,Client,53 CHEMIN DE FRIARDEL,,,14290,ORBEC
ORNADEC,5668,Client,Z.I.  BEAUVOIR,,,14290,ORBEC
AGRIAL - ORBEC,13188,Client,ZONE ARTISANALE,,,14290,ORBEC
SOCIETE FROMAGERE D ORBEC,3947,Client,8, RUE VIMOUTIERS,,,14290,ORBEC
SOCIETE NORMANDE D OVOPRODUITS,3316,Client,33 RUE DU CHATEAU,,,14290,ST MARTIN DE BIENFAITE
BDIT,14748,Client,1439 ROUTE DU PONT CAGNARD,,,14310,MAISONCELLES PELVEY
PERIER LABEL BOISSONS,8448,Client,4 IMPASSE DU RAIL,LA CAVE DE VILLERS,,14310,VILLERS BOCAGE
